official_store_id,official_branch_name,official_address,candidate_google_name,candidate_place_id,candidate_business_status,name_similarity,coordinate_distance_km,match_score,exclusion_reason,retrieved_at
37,Al Ain,"Villa 14, Hamdan Bin Mohammad St. , Al Markaniyah, Al Ain - Abu Dhabi",Bedashing Beauty Lounge Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,OPERATIONAL,1.0,8.3721,0.7,Google coordinate is more than 1.5 km from official coordinate,2026-09-02T14:42:08+00:00
39,Al Falah,"Al Falah Village 4, 1D Branch, Abu Dhabi",Bedashing Beauty Lounge Al Falah,ChIJhST-PqhLXj4R4Ns1HCNIcjA,OPERATIONAL,1.0,1.714,0.8286,Google coordinate is more than 1.5 km from official coordinate,2026-09-02T14:42:08+00:00
36,Baniyas,"Villa D, Baniyas East 8, Opposite to Lulu Hypermarket, Abu Dhabi.",Bedashing Beauty Lounge Baniyas,ChIJ5ch6Hag3Xj4RlU_4s1p7o8s,OPERATIONAL,1.0,2.4708,0.7529,Google coordinate is more than 1.5 km from official coordinate,2026-09-02T14:42:08+00:00
40,Khaleej Al Arabi,"Opposite Al Bateen Gardens, Next to Mubarak Bin Muhamad School, Khaleej Al Arabi Street, Between Al Falah and Defence Road, Abu Dhabi, UAE.",Bedashing Beauty Lounge Khaleej Al Arabi,ChIJ7Q7KjQNmXj4ROEhXBTwMTWk,OPERATIONAL,1.0,2.5639,0.7436,Google coordinate is more than 1.5 km from official coordinate,2026-09-02T14:42:08+00:00
31,Nad Al Sheba,"Nad Al Sheba Mall, Nad Al Sheba 3 - Dubai, Shop No. L2-048 - Dubai",Bedashing Beauty Lounge Nad Al Sheba,ChIJR6DuRulnXz4RsewBFpNYmzQ,OPERATIONAL,1.0,4.841,0.7,Google coordinate is more than 1.5 km from official coordinate,2026-09-02T14:42:08+00:00
48,Ras Al Khaimah,"Villa 3, Sheikh Rashid Bin Saeed Al Maktoum Rd, Beside Al Neem City Center, Al Dhaith, Ras Al Khaimah.",Bedashing Beauty Lounge RAK,ChIJSU1oGll19j4RCktPt_Pr5o0,OPERATIONAL,0.3529,1.1199,0.4998,name similarity below 0.65,2026-09-02T14:42:08+00:00
35,Shahama,"Abu Dhabi – Al Shahama Rd , Abu Dhabi",Bedashing Beauty Lounge,ChIJh9wAonFPXj4R6P2_rlevv90,OPERATIONAL,0.0,15.9075,0.1,name similarity below 0.65; Google coordinate is more than 1.5 km from official coordinate,2026-09-02T14:42:08+00:00
