cluster_id,grow_cell_count,estimated_population_2025,max_opportunity_score,mean_opportunity_score,centroid_latitude,centroid_longitude,market_anchor_name,market_anchor_address,best_h3_cell
GROW-033,1,2877.11,73.42,73.42,25.201832,55.227621,Four Seasons Resort Dubai at Jumeirah Beach,Jumeira St - Jumeira Second - Jumeirah 2 - Dubai,8743a1361ffffff
GROW-049,2,2198.34,73.3,72.52,24.609339,55.018214,,,8743a17a4ffffff
GROW-113,1,1226.19,73.3,73.3,24.970659,56.277847,,,8743a8d15ffffff
GROW-066,1,1217.24,73.23,73.23,23.561848,53.704885,,,8743a2984ffffff
GROW-019,1,1210.78,73.2,73.2,24.890191,54.875079,,,8743a1002ffffff
GROW-003,1,1192.67,73.09,73.09,24.471009,54.426143,The Nail Spa - Eastern Mangroves Promenade,"Ground Floor, Eastern Mangroves - Promenade - Sheikh Zayed St - الخيران - Zone 1 - أبو ظبي",8743a020cffffff
GROW-024,1,1190.35,73.07,73.07,24.725896,54.86513,,,8743a1094ffffff
GROW-064,1,1185.9,73.04,73.04,23.767956,53.782214,,,8743a2971ffffff
GROW-126,1,1178.54,73.01,73.01,25.44681,56.135653,,,8743ac39bffffff
GROW-080,1,1176.92,72.99,72.99,23.572458,55.521548,,,8743a36d5ffffff
GROW-087,1,6855.18,72.92,72.92,24.270472,54.606506,Golden Braids Ladies Saloon,Al Nahyan Tanker Mai - Tea Break Same Building - opposite Parco Hypermarket - جرن يافور - M-03 - أبو ظبي,8743a390cffffff
GROW-162,1,1167.14,72.92,72.92,24.318795,55.652199,,,8743aecf1ffffff
GROW-084,1,1158.61,72.86,72.86,24.275478,54.828037,,,8743a3844ffffff
GROW-046,2,2003.78,72.8,71.81,24.560482,55.355957,,,8743a16c2ffffff
GROW-070,1,1138.97,72.71,72.71,24.016498,55.52313,,,8743a320affffff
GROW-015,4,3793.93,72.66,71.49,24.235801,54.491223,,,8743a3936ffffff
GROW-002,2,1976.0,72.63,71.77,24.254684,54.176977,,,8743a00d8ffffff
GROW-055,1,1119.4,72.63,72.63,22.965251,54.300119,,,8743a24ceffffff
GROW-050,2,2180.16,72.6,72.44,24.80284,54.646641,,,8743a1ce9ffffff
GROW-157,2,1985.16,72.53,71.84,24.9036,56.094473,,,8743aea70ffffff
GROW-119,1,1095.07,72.5,72.5,25.58158,55.655542,,,8743ac12bffffff
GROW-073,6,5576.83,72.28,71.39,23.846211,55.519903,,,8743a366dffffff
GROW-042,1,1050.31,72.21,72.21,24.76992,55.367665,,,8743a166bffffff
GROW-009,1,1042.47,72.17,72.17,24.048427,53.764969,,,8743a0500ffffff
GROW-025,1,1021.19,72.05,72.05,24.7979,54.871995,,,8743a10a3ffffff
GROW-107,1,998.47,71.91,71.91,24.055337,53.323286,,,8743a6ad5ffffff
GROW-102,1,996.37,71.88,71.88,23.952747,52.787174,,,8743a68a1ffffff
GROW-106,1,982.53,71.8,71.8,24.101064,53.393658,,,8743a6ac8ffffff
GROW-109,1,970.49,71.7,71.7,23.719351,52.877756,,,8743a6c5effffff
GROW-092,1,964.51,71.63,71.63,24.432088,55.042093,,,8743a3b75ffffff
GROW-052,1,960.81,71.6,71.6,22.965922,54.161744,,,8743a241affffff
GROW-108,1,947.95,71.55,71.55,24.049964,53.384379,,,8743a6ad8ffffff
GROW-041,1,928.46,71.39,71.39,24.641471,55.125535,,,8743a1634ffffff
GROW-023,1,916.1,71.35,71.35,24.763073,54.960172,,,8743a108affffff
GROW-074,1,913.26,71.33,71.33,23.840333,55.453574,,,8743a3294ffffff
GROW-067,1,900.28,71.28,71.28,24.042799,55.457722,,,8743a3205ffffff
GROW-086,1,886.14,71.15,71.15,24.166705,54.868729,,,8743a38eeffffff
GROW-043,4,3239.3,71.12,70.48,24.539394,55.230182,,,8743a16a1ffffff
GROW-161,1,876.76,71.07,71.07,24.301167,55.695996,,,8743aecc2ffffff
GROW-089,1,868.62,71.03,71.03,24.119884,55.079591,,,8743a3ab6ffffff
GROW-072,1,866.9,71.03,71.03,24.096644,55.508846,,,8743a3274ffffff
GROW-061,1,860.33,70.95,70.95,23.671923,53.841628,,,8743a282effffff
GROW-156,1,856.73,70.88,70.88,24.88437,56.209868,,,8743aea58ffffff
GROW-160,1,831.58,70.64,70.64,24.299926,55.513183,,,8743aeca5ffffff
GROW-134,1,826.9,70.62,70.62,24.97076,55.618888,,,8743ac59affffff
GROW-045,1,826.73,70.6,70.6,24.539915,55.286811,,,8743a168dffffff
GROW-004,1,3977.5,70.54,70.54,24.485354,54.342334,Tryp by Wyndham Abu Dhabi,Khalifa Bin Zayed The First St - Al Danah - Zone 1 - Abu Dhabi,8743a0220ffffff
GROW-090,1,814.59,70.45,70.45,24.238227,55.341502,,,8743a3ac8ffffff
GROW-026,1,805.98,70.4,70.4,24.82958,54.886464,,,8743a10acffffff
GROW-167,1,802.71,70.36,70.36,24.177928,51.998629,,,87534d1a8ffffff
GROW-136,1,795.31,70.31,70.31,25.224353,56.21466,,,8743ac656ffffff
GROW-028,1,785.34,70.26,70.26,24.823984,54.805837,,,8743a118affffff
GROW-137,1,782.46,70.23,70.23,25.270227,56.289834,,,8743ac65dffffff
GROW-054,1,781.85,70.23,70.23,22.971153,54.239695,,,8743a24c4ffffff
GROW-075,1,780.8,70.21,70.21,23.920251,55.43925,,,8743a32a0ffffff
GROW-027,1,772.69,70.15,70.15,24.841355,54.761719,,,8743a1181ffffff
GROW-091,1,759.38,70.05,70.05,24.417317,55.126092,,,8743a3b43ffffff
GROW-078,1,755.83,70.0,70.0,23.496844,55.434674,,,8743a369cffffff
