competitor_place_id,competitor_name,included,exclusion_reason
ChIJgXqyiylDXj4RWZhwIPiJjjg,Cherish SPA,True,
ChIJC5z7Y_lhXz4Rqnxl7XwG-cc,COYA Spa,True,
ChIJlcRPQdNDXz4RifA_BEVi50A,Laguna SPA - Sheikh Zayed,True,
ChIJnzNF10VhXz4RE_PlzgPKwiU,KLEÏ Spa and Hammam,True,
ChIJxXjaZHprXz4REYnXZsUjqr8,Lavuna Spa - Tecom Barsha,True,
ChIJEaWpCQBrXz4RhlHI9gXIz8w,Paus Club,True,
ChIJaaiQQZNnXz4RV1G1xNMMGiQ,泰享来(泰式古法按摩•影院足道•洗浴搓澡)thai space massage - 迪拜酋长国,True,
ChIJ82Lw0yNfXz4RN7hn-gRQnno,Horse Spa For Men,False,MEN_OR_BARBER
ChIJb-XuaNNgXz4RZwvqMHgFBB8,Fitness Terminal Men's Gym,False,MEN_OR_BARBER
ChIJk-dPUrr59D4RoBQhI4raGBI,Phoenix Gents Spa فونيكس سبا للعناية بالرجال | الفجيرة,False,MEN_OR_BARBER
ChIJCw2jTFhJXj4RcpCamtniuV0,Chiang Mai Traditional Thai Massage,True,
ChIJEQ-8fl139j4RXIyCsuPDiJQ,الركن التايلندي للمساج والحمام المغربي للسيدات,True,
ChIJT1WJtYdZXz4RC_8axo8boz0,Toronto Star Body Building,False,FITNESS_OR_SPORTS
ChIJ4yiczIhHXj4RTQcwYwFsewM,C FOUR GYM,False,FITNESS_OR_SPORTS
ChIJVRSDeNhDXj4RVnxlw3kuMdg,"Chi, The Spa at Shangri-La",True,
ChIJazEKiV5PXj4RDy4Y2DWLIxk,REVIVE Wellness Rehabilitation Center,True,
ChIJo5spWqB29j4RWMhVKTnfQyA,QI Massage Center (formerly TCM Spa Massage Center),True,
ChIJwyHoaClmXj4Rqgsjdqc_LVw,Al Diar Sawa Hotel Apartments,True,
ChIJOZBMbdxrXz4RHEeuru_-HQA,Ruspa - Ukrainian and European Massage Al Barsha,True,
ChIJi135LPRlXj4REqYFVZHI2Ec,Young Massage Spa Abu Dhabi,True,
ChIJe6sxLvttXz4Re7ijGxRbSD4,"Soul Side Wellness – Yoga, Sound Healing & Holistic Therapy in JLT",True,
ChIJZ1bF8ZVoXj4RbD0cjR1L2gw,Inspire Sports Center-Ladies Sports & Spa,False,FITNESS_OR_SPORTS
ChIJR_rCewBx9j4RSyCuMhUQQJQ,Claridge Star Hotel,True,
ChIJIfX8sJNGXj4ROCxQnh8M2-E,Point Zero Floatation Center,True,
ChIJN8niTg2xij4RBieLSrQztzw,Calm & co,False,FITNESS_OR_SPORTS
ChIJb2Jckh1fXz4RCdHEBrREFVY,Peace massage center مركز السلام للمساج,True,
ChIJJVFWbFV19j4RIkKcOjTUulI,Villa Thalgo RAK,True,
ChIJJfCNVi5HXj4RdUH_bZHjY8I,Dream Garden SPA- Massage Center in Abu Dhabi,True,
ChIJibBV38Gvij4RoFsZ8CCRwPc,King river spa,True,
ChIJ8RWvXHRDXj4RFTW6CnjQhaY,Spirit Body & Soul Spa,True,
ChIJX9yrtmRmXj4R0XuMyz81jnc,Eclipse Spa at Eclipse Boutique Suites | Best Massage Spa in abu dhabi |,True,
ChIJr0TWFSo3Xj4Rd2IjsTaEgDo,Thai Touch Massage,True,
ChIJVXC4O3hfXz4R-8FOvOA7MUk,Healing Zone Spa,True,
ChIJqxkK2ypDXz4RAN5Y3XKXiU4,SunShine Spa,True,
ChIJsdjx0dpnXz4RJoEdDkDYZwI,Mary Foot Spa Nad Al Hamar Avenues,True,
ChIJYX-o5_759D4RAi5DohyyBl0,"Oxyzen European Spa And Massage, Fujairah",True,
ChIJOeI8pUhhXz4RsGHovkGr6dE,Spring Gents Massage,False,MEN_OR_BARBER
ChIJffEPtoBDXz4RsOE7keGeUY0,Aurrum Spa - Ukrainian and Russian Massage Center,True,
ChIJAR_nF0BFXj4R4tqQUPp56G4,Bua Lady Spa,True,
ChIJsbCdvm5pXz4RTknaiFZ5zxc,Lucky Star Massage Center Al Quoz,True,
ChIJ_blOqMJIXj4RbCRZ2vyofoI,V Elements Spa - Abu Dhabi International Airport,True,
ChIJKYlQSqJtXz4RjLVjmnsAJic,Tranquil Wellness Tower by Wellcube.life,True,
ChIJyS7OpFlAXj4RcGTdHxmWan4,Arabian Pools,True,
ChIJcdHOwqZsXz4RI8VN755zYyA,"Supreme Energy Spa - Russian Spa in JLT, Dubai",True,
ChIJy1YoYj1hXz4RCVzckzg0ahY,The Lob Dubai - Padel & Wellness Club,False,FITNESS_OR_SPORTS
ChIJTR4Oeh9BXj4Re7dvWUQckQQ,Aroma Ocean Spa Best Massage in Abudhabi & Home Service,True,
