official_store_id,branch_name,google_place_id,sample_position,review_rating,review_text,original_review_text,publish_time,relative_publish_time,author_name,review_url,source,retrieved_at
42,Shakhbout City,ChIJDbcz2A9tXz4RnqvVPtIP15c,1,5,Margeline did an amazing job on my nails. She is very skilled at what she does. I love the way she did my extensions and she was so friendly and patient if there was something else that I asked for or wanted to change. My nails look beautiful and I’m very impressed.,Margeline did an amazing job on my nails. She is very skilled at what she does. I love the way she did my extensions and she was so friendly and patient if there was something else that I asked for or wanted to change. My nails look beautiful and I’m very impressed.,2025-12-17T12:06:50.172830173Z,8 months ago,Sureka Salig,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xCbWJWZHdNM0o0T1VweGRrbG1aWEZKUmxjNFJGRRAB!2m1!1s0x3e5f6d0fd833b70d:0x97d70fd23ed5ab9e,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
42,Shakhbout City,ChIJDbcz2A9tXz4RnqvVPtIP15c,2,5,"It was my first time getting my nails done with Zynthaline at Bedashing in Shakhbout, and I’m so happy with the experience! 💅 She was super gentle, attentive, and made sure every detail was perfect. The salon itself is always so clean, welcoming, and professional — I love the atmosphere and the level of care they provide. Definitely one of the best nail experiences I’ve had, and I’ll be coming back for sure! ✨","It was my first time getting my nails done with Zynthaline at Bedashing in Shakhbout, and I’m so happy with the experience! 💅 She was super gentle, attentive, and made sure every detail was perfect. The salon itself is always so clean, welcoming, and professional — I love the atmosphere and the level of care they provide. Definitely one of the best nail experiences I’ve had, and I’ll be coming back for sure! ✨",2025-10-23T17:07:25.654804103Z,10 months ago,MsSAlameri,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2psNlowOWlNa3B1TTJGTFJXWkpkbE10YzJSbGQyYxAB!2m1!1s0x3e5f6d0fd833b70d:0x97d70fd23ed5ab9e,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
42,Shakhbout City,ChIJDbcz2A9tXz4RnqvVPtIP15c,3,5,Mikka and Erlinda did my nails they are very friendly did a great job with cleaming and coloring my nails. Shakbout branch is my favorite and go to nail saloon.. its the best branch so far,Mikka and Erlinda did my nails they are very friendly did a great job with cleaming and coloring my nails. Shakbout branch is my favorite and go to nail saloon.. its the best branch so far,2026-01-14T09:12:17.844325369Z,7 months ago,HISNA M.,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xGelNXMWhZVzFTTkU1SVRucFRSVlJmVERsUFJrRRAB!2m1!1s0x3e5f6d0fd833b70d:0x97d70fd23ed5ab9e,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
42,Shakhbout City,ChIJDbcz2A9tXz4RnqvVPtIP15c,4,1,"I did manicure few days back, the nail technician has over-cut the sides of my nails and it was bleeding throughout the session. Today is the fourth day and the side of my nail is inflammated and releasing weird fluids. definitely not visiting back","I did manicure few days back, the nail technician has over-cut the sides of my nails and it was bleeding throughout the session. Today is the fourth day and the side of my nail is inflammated and releasing weird fluids. definitely not visiting back",2026-03-06T06:55:04.880542103Z,6 months ago,noora alali,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xKdldYUXdXVk0xUnpacFpIQm9PRkJpYmw4MWNXYxAB!2m1!1s0x3e5f6d0fd833b70d:0x97d70fd23ed5ab9e,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
42,Shakhbout City,ChIJDbcz2A9tXz4RnqvVPtIP15c,5,1,"I’m really disappointed with my hair service today.

I specifically asked for a senior technician because every time I come for a blow-dry, it ends up flat with no volume. Unfortunately, today’s result was even worse. Some parts are straight, some are curly, and the two sides don’t even match. Only a few sections have the blow-dry volume I asked for.

For 160 AED , I honestly expected better. The result is so uneven that I have to go home and redo my hair myself.

If no senior technician was available, I would have preferred to be told upfront. I would rather go somewhere else and get the result I want than pay for a service and still have to redo it at home.

This was really disappointing.","I’m really disappointed with my hair service today.

I specifically asked for a senior technician because every time I come for a blow-dry, it ends up flat with no volume. Unfortunately, today’s result was even worse. Some parts are straight, some are curly, and the two sides don’t even match. Only a few sections have the blow-dry volume I asked for.

For 160 AED , I honestly expected better. The result is so uneven that I have to go home and redo my hair myself.

If no senior technician was available, I would have preferred to be told upfront. I would rather go somewhere else and get the result I want than pay for a service and still have to redo it at home.

This was really disappointing.",2026-06-07T15:14:14.458206810Z,2 months ago,mariam alameri,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2twUWNGTlZjM3AxTWxGRVpuZE1lbEJxVVhoTFEyYxAB!2m1!1s0x3e5f6d0fd833b70d:0x97d70fd23ed5ab9e,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
34,Westyas Branch,ChIJURfcOI9FXj4RQMm5phqBgY8,1,5,"​I had an absolutely wonderful experience at Bedashing Beauty Lounge! From the moment I walked in, the reception team and therapists made me feel so incredibly welcome and at home.

​The attention to detail is unmatched—I am obsessed with how my nails turned out, thank you Ms Jenny Rose for a much love pamper time! 😘","​I had an absolutely wonderful experience at Bedashing Beauty Lounge! From the moment I walked in, the reception team and therapists made me feel so incredibly welcome and at home.

​The attention to detail is unmatched—I am obsessed with how my nails turned out, thank you Ms Jenny Rose for a much love pamper time! 😘",2026-05-12T10:27:23.812557704Z,3 months ago,Jerika Frances Flores,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21kZmQweGtjM3BhTW13MmVtSnBhM1pvVFZOdk5WRRAB!2m1!1s0x3e5e458f38dc1751:0x8f81811aa6b9c940,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
34,Westyas Branch,ChIJURfcOI9FXj4RQMm5phqBgY8,2,5,"The atmosphere is truly warm and welcoming. Everyone on the team, including you, is just so sweet. They were all amazing, and I genuinely felt so well taken care of—not because they had to, but because you can tell they truly do everything with love and passion.

They are all incredibly kind and lovely. I had my roots done, covering my whole head, and I honestly didn’t expect such an amazing result.

I decided to try this salon because I was tired of paying so much at the hair salon I had been going to for years. Since I live nearby, I thought I’d give it a try, and I’m so glad I did.

The quality-to-price ratio is outstanding. They didn’t just do a good job—they did an excellent job. I’ll definitely be back. From now on, I’ll be one of their regular clients!","The atmosphere is truly warm and welcoming. Everyone on the team, including you, is just so sweet. They were all amazing, and I genuinely felt so well taken care of—not because they had to, but because you can tell they truly do everything with love and passion.

They are all incredibly kind and lovely. I had my roots done, covering my whole head, and I honestly didn’t expect such an amazing result.

I decided to try this salon because I was tired of paying so much at the hair salon I had been going to for years. Since I live nearby, I thought I’d give it a try, and I’m so glad I did.

The quality-to-price ratio is outstanding. They didn’t just do a good job—they did an excellent job. I’ll definitely be back. From now on, I’ll be one of their regular clients!",2026-07-01T17:50:09.067577274Z,2 months ago,Simona Caruso,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2sxbUxVdzNSWGRYTldKcVVFTlJhbDlZU1hCaWExRRAB!2m1!1s0x3e5e458f38dc1751:0x8f81811aa6b9c940,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
34,Westyas Branch,ChIJURfcOI9FXj4RQMm5phqBgY8,3,1,"Despite its well-known and prestigious reputation in the UAE, my experience at this salon was very disappointing.

I booked both a manicure and a pedicure, including an additional callus removal treatment. Unfortunately, the quality of the service was far below the standard I expected. The technician who did my manicure did not shape or trim my nails properly, and the final result looked untidy and unprofessional.

As for the pedicure, the technician did not seem experienced enough. While using the callus removal tool, she actually burned my foot, which was both painful and unacceptable.

To make matters worse, when I was leaving, my shoes were placed inside a paper bag made from recycled supermarket magazines. I found this very surprising. Doesn’t a long-established, premium salon have its own branded bags? Considering the high prices charged for the services, this felt cheap and unprofessional, and certainly not the level of customer experience I expected from such a reputable business.

Overall, I was very disappointed and would not expect this level of service from a salon with
such a strong reputation.

On top of everything else, the nail technician doing my manicure constantly tried to sell me additional services. She repeatedly suggested extra treatments throughout my appointment, even after I made it clear that I was not interested. She simply would not stop, and it became very annoying and uncomfortable. Clients should be able to enjoy their appointment without feeling pressured into purchasing extra services.","Despite its well-known and prestigious reputation in the UAE, my experience at this salon was very disappointing.

I booked both a manicure and a pedicure, including an additional callus removal treatment. Unfortunately, the quality of the service was far below the standard I expected. The technician who did my manicure did not shape or trim my nails properly, and the final result looked untidy and unprofessional.

As for the pedicure, the technician did not seem experienced enough. While using the callus removal tool, she actually burned my foot, which was both painful and unacceptable.

To make matters worse, when I was leaving, my shoes were placed inside a paper bag made from recycled supermarket magazines. I found this very surprising. Doesn’t a long-established, premium salon have its own branded bags? Considering the high prices charged for the services, this felt cheap and unprofessional, and certainly not the level of customer experience I expected from such a reputable business.

Overall, I was very disappointed and would not expect this level of service from a salon with
such a strong reputation.

On top of everything else, the nail technician doing my manicure constantly tried to sell me additional services. She repeatedly suggested extra treatments throughout my appointment, even after I made it clear that I was not interested. She simply would not stop, and it became very annoying and uncomfortable. Clients should be able to enjoy their appointment without feeling pressured into purchasing extra services.",2026-06-26T04:05:34.457599393Z,2 months ago,Ahlam Mubarak,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21nNGRtNDVRV1ZFT0hKVVFtbDJjams0VUdoM1QwRRAB!2m1!1s0x3e5e458f38dc1751:0x8f81811aa6b9c940,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
34,Westyas Branch,ChIJURfcOI9FXj4RQMm5phqBgY8,4,1,"If you want your natural nails completely destroyed, go to any Bedashing branch.

I booked an appointment for lash extension removal and soft gel extension removal. Before booking, I specifically asked on WhatsApp whether they knew how to remove soft gel extensions, and they confirmed that they did.

The only positive thing I can say is that the lash removal was done properly.

The nail removal, however, was one of the worst salon experiences I’ve ever had. The technician started by aggressively drilling my nails before applying acetone and foil wraps. When the foils were removed, instead of the product being properly soaked off, she continued filing and drilling my nails, then wrapped them back up in acetone and foil again. This cycle was repeated multiple times.

By the end of the appointment, my natural nails were left paper-thin, weak, damaged, and painful. It genuinely felt like she was drilling away my actual nails rather than removing the product. A professional soft gel removal should not leave someone’s nails in this condition.

What’s even more frustrating is that I specifically checked beforehand that they offered soft gel removal. If this is the standard removal process, then they should not be offering the service at all.

I left with nails that are significantly worse than when I walked in and will now need months to recover. I paid for a removal service, not for my natural nails to be ruined.

The lash removal was good, but the damage done to my nails completely overshadowed any positive part of the visit. I would never trust Bedashing with my nails again and would not recommend their soft gel removal service to anyone.","If you want your natural nails completely destroyed, go to any Bedashing branch.

I booked an appointment for lash extension removal and soft gel extension removal. Before booking, I specifically asked on WhatsApp whether they knew how to remove soft gel extensions, and they confirmed that they did.

The only positive thing I can say is that the lash removal was done properly.

The nail removal, however, was one of the worst salon experiences I’ve ever had. The technician started by aggressively drilling my nails before applying acetone and foil wraps. When the foils were removed, instead of the product being properly soaked off, she continued filing and drilling my nails, then wrapped them back up in acetone and foil again. This cycle was repeated multiple times.

By the end of the appointment, my natural nails were left paper-thin, weak, damaged, and painful. It genuinely felt like she was drilling away my actual nails rather than removing the product. A professional soft gel removal should not leave someone’s nails in this condition.

What’s even more frustrating is that I specifically checked beforehand that they offered soft gel removal. If this is the standard removal process, then they should not be offering the service at all.

I left with nails that are significantly worse than when I walked in and will now need months to recover. I paid for a removal service, not for my natural nails to be ruined.

The lash removal was good, but the damage done to my nails completely overshadowed any positive part of the visit. I would never trust Bedashing with my nails again and would not recommend their soft gel removal service to anyone.",2026-06-15T12:21:09.232568952Z,2 months ago,Hessa Alh,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2taeExUUmFObWMwYzE5SlgxVTJWblIzYlRWb1VIYxAB!2m1!1s0x3e5e458f38dc1751:0x8f81811aa6b9c940,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
34,Westyas Branch,ChIJURfcOI9FXj4RQMm5phqBgY8,5,5,"Jenny Rose is truly an exceptional nail artist. From the moment you sit in her chair, you can tell how much care, talent, and passion she puts into her work. She’s incredibly detail-oriented, patient, and genuinely listens to what you want and somehow makes it even better than you imagined.
Her designs are flawless and always beautifully executed. Jenny Rose herself is an absolute joy to be around. She is professional, kind, and so talented. Every appointment feels like a treat, not just a service.","Jenny Rose is truly an exceptional nail artist. From the moment you sit in her chair, you can tell how much care, talent, and passion she puts into her work. She’s incredibly detail-oriented, patient, and genuinely listens to what you want and somehow makes it even better than you imagined.
Her designs are flawless and always beautifully executed. Jenny Rose herself is an absolute joy to be around. She is professional, kind, and so talented. Every appointment feels like a treat, not just a service.",2026-02-02T06:03:13.792550837Z,7 months ago,Cynthia Bartok,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pOUGFsaEhTalU1YkdKWFozQjJlRm8zZFV4WFZVRRAB!2m1!1s0x3e5e458f38dc1751:0x8f81811aa6b9c940,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
