official_store_id,branch_name,branch_google_place_id,branch_latitude,branch_longitude,competitor_place_id,competitor_name,competitor_tier,straight_line_distance_km,search_radius_km,source,retrieved_at
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJWUyAG3Gzij4RhQBnPkdegb4,Miss elegant,DIRECT,2.8708,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJp9ytd6ixij4RjF79c_A7Clk,OCEAN BEAUTY CENTER- Alkhabisi (main branch),DIRECT,2.9062,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ75l9fqixij4RCKBHJGfstZY,Fankosha Beauty Center | مركز فنكوشة للتجميل,DIRECT,2.9656,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJU4NjYgCxij4RBcwdPx0x-yU,Yasmeen henna Beauty salon,DIRECT,2.9685,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJj_uVRRiuij4RQm0_-G-v1tg,Tmkn fitness,ADJACENT,2.9876,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJN5j0wUWxij4R8TN2xJxsI3M,فينثورا الطبي,DIRECT,2.9941,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ17kOD-exij4RJ9DJM4hBxCo,Lavita Beauty Center,DIRECT,3.0044,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJs0pW-oqxij4RD1dWYgW7sEQ,Rival Salon,DIRECT,3.049,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ-_Jmvj2vij4Rzs_B58K1mgI,THE GLAM SALON,DIRECT,3.1037,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJS_3ToSOvij4Rf1Kgjs1h-4I,Reflection Spa & Saloon franz,ADJACENT,3.134,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ16Zlg3Cvij4RSAL9vtSZD24,AlFal Beauty Center - Alain,DIRECT,3.1438,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJG1pmtnGvij4RHhOTDoimxGU,Ondas Ladies Beauty Center مركز أونداس للتجميل للسيدات,DIRECT,3.1532,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJhasCFAavij4RTLvJROlIaJc,Hidden beauty Lounge,DIRECT,3.1563,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJkbpRWACvij4RvV8mBcToWBE,صالون ميس وررد,DIRECT,3.1693,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJkwV77Zmvij4RbWKomCxWpSU,Blue Moon Saloon .gentes,DIRECT,3.1709,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJFxt_UT6vij4RRApoki-kaTw,Piano salon,DIRECT,3.1745,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJPd269Eivij4RdjSUpOsmWis,Bishkek Beauty salon Al Ain,DIRECT,3.176,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJUcv0Wo2vij4RGxp4BAsn7bU,H R World Beauty Salon,DIRECT,3.1817,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJoT6bF5-vij4RIQkvhC95ltA,jehan Beauty Salon - صالون جيهان للتجميل,DIRECT,3.1869,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJnwr5NkOvij4RmdNyeS6uroo,صالون ريفيرا,DIRECT,3.1904,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ4TNJ_Beuij4RbLLgYvIfAOU,ALTA Styles,DIRECT,3.2568,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ41I_Tm-xij4RGDLRsXuw3Ow,Royal Nails Beauty Lounge,DIRECT,3.435,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJGbhzeuexij4Ra090LoMMZkM,بريتي لارينا سبا العين,DIRECT,3.4745,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJMU5vP36xij4R7f2yKKT8OOw,MÉLANGE BEAUTÉ,DIRECT,3.4933,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJV70DgtGzij4RRh6_4hZV550,Rapunzel spa,DIRECT,3.5021,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJAVs5Tluxij4Rr9CuPi7hmPI,Lunar wellness spa,ADJACENT,3.5139,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJQ4TtbD2xij4RCMMnJhlNJ5o,The Muse UAE Boutique Spa Al Ain,ADJACENT,3.5212,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
