official_store_id,branch_name,search_type,radius_meters,results_returned,api_limit_reached,competitors_kept,bedashing_results_excluded,non_operational_excluded,missing_location_excluded,request_status,error,retrieved_at
41,Khalifa City A,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
41,Khalifa City A,nail_salon,5000,20,True,18,1,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
41,Khalifa City A,spa,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
43,Ministries Complex,beauty_salon,5000,20,True,17,2,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
43,Ministries Complex,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
43,Ministries Complex,nail_salon,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
43,Ministries Complex,spa,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
29,Mirdif 35,beauty_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
29,Mirdif 35,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
29,Mirdif 35,nail_salon,5000,19,False,18,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
29,Mirdif 35,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
44,Mohammed Bin Zayed City,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
44,Mohammed Bin Zayed City,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
44,Mohammed Bin Zayed City,nail_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
44,Mohammed Bin Zayed City,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
31,Nad Al Sheba,beauty_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
31,Nad Al Sheba,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
31,Nad Al Sheba,nail_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
31,Nad Al Sheba,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
52,Noya Plaza,beauty_salon,5000,20,True,18,2,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
52,Noya Plaza,hair_salon,5000,7,False,7,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
52,Noya Plaza,nail_salon,5000,5,False,5,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
52,Noya Plaza,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
48,Ras Al Khaimah,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
48,Ras Al Khaimah,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
48,Ras Al Khaimah,nail_salon,5000,12,False,12,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
48,Ras Al Khaimah,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
35,Shahama,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
35,Shahama,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
35,Shahama,nail_salon,5000,7,False,7,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
35,Shahama,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
42,Shakhbout City,beauty_salon,5000,20,True,18,1,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
42,Shakhbout City,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
42,Shakhbout City,nail_salon,5000,2,False,2,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
42,Shakhbout City,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
34,Westyas Branch,beauty_salon,5000,20,True,18,2,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
34,Westyas Branch,hair_salon,5000,9,False,9,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
34,Westyas Branch,nail_salon,5000,5,False,5,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
34,Westyas Branch,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
49,Zawaya Walk,beauty_salon,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
49,Zawaya Walk,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
49,Zawaya Walk,nail_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
49,Zawaya Walk,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
47,Zayed International Airport,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
47,Zayed International Airport,hair_salon,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
47,Zayed International Airport,nail_salon,5000,12,False,10,1,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
47,Zayed International Airport,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
